path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_13_doc_export_spec/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_th.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_de.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_en.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_es.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_it.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_th.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_14_zip_wrap_spec/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_de.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_en.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_es.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_it.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_th.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_15_code_generation/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_de.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_en.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_es.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_it.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_th.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_16_code_json_spec_mode/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_de.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_en.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_es.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_it.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_th.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_17_comparison_tables/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_de.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_en.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_es.yaml,0.3,0.3,0.35
lanes/lane_18_chart_spec/lane_fr.yaml,0.3,0.3,0.35
